time_label,time,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
1998Q1,1998.0,5.115749930272045,0.9717176593792282,2.694178672191595,0.029769470910058438,-0.050394834242036196,1.5495399366027274,0.1236088452263925,-1.6543591143360443,-1.037333324161353,0.08779999482209006,-0.40036408381229815,-0.20724329394057062,-1.3412437133646211,0.44713010778588014,0.8625435117748617,0.4340172007725358,-1.230236341254055,-0.47914026316186226,0.36975473098699824,-0.7069574183607211,-0.12502203627785222,-0.23724214418319292,-0.0190574594883185,0.3716687784205925,-0.11264230869049562,-0.03001004976642292
1998Q2,1998.25,4.826811355627042,1.0790681423917268,1.8974913271989002,-1.0954561444054498,0.28264267030297496,1.5200563912006553,-0.48647253839983995,0.7416991759794367,-0.2004991880105039,0.4381768752396938,0.3504283625860377,0.8476489375712399,-0.7817994026015643,0.3483547154978899,0.30975160978602995,0.08093204892006677,-0.4064657558544207,-0.15709334504896952,-0.10652555827460622,-1.2169084056334771,-0.2222804790504764,0.17926195974188405,-0.11730293095993642,0.27177353541649535,-0.03226103134988735,0.1549569944790285
1998Q3,1998.5,4.453666179618546,0.9094310495166229,1.2580294036356876,0.2812137786360879,0.24794921255753566,-1.591313105373737,1.8767648645450572,4.0599038420650935,-1.9062644628270604,-0.4767202362157886,1.3924868778337638,-0.395718108126919,-0.14300420308158984,-0.06686299664464108,-0.11653994163649974,0.2634531348107106,0.7224994620992788,0.4041823782261593,0.7956253600375264,0.32320868200995945,-0.06271376361508624,-0.2820697490566453,-0.11830357348154073,0.07631452794758226,0.07874861393140814,-0.020679928233913715
1998Q4,1998.75,5.854504578684044,0.13861505999435247,1.6393542142917201,0.4260611550696386,-0.6352693985860007,0.20368125099057657,1.4262950262665421,1.580521129918014,0.1995644658883145,1.1497528669571084,1.8194779394558922,1.184699857542893,1.002244656890525,-0.740934990078001,-0.09241551601639089,0.6177973729674604,0.02102259644969785,1.4141460507867791,-0.723350384393509,0.2969460596819943,0.392156066541302,0.15224975859347878,-0.46327822810580493,-0.2852314080727624,0.06617935471288801,-0.03366035406546321
1999Q1,1999.0,5.9891691347320295,-0.5313295689162673,1.4618228888285483,-0.08692584226887885,-1.0221746753189846,0.8510192182597167,1.8613304232071832,0.3042301003569126,1.3139243004237897,1.2145948572260605,0.34942019426666177,0.253307772315486,1.4599258120968932,-0.619432321705653,-1.384691237221449,-0.016766428681496297,-0.5177695904496122,0.37960395333007035,0.09810515881937516,0.04288682128794442,-0.8551341965777265,-0.3999340859907215,0.645315715315021,0.25737221660874804,-0.08391617392173056,0.0023007819137881146
1999Q2,1999.25,3.569487226496574,1.3918325574189552,2.8250021730943717,0.39633311092292617,0.0742123171300265,-0.407823743874445,-2.078728635545023,0.8423451516365492,0.9890902914956862,0.3507668689825586,-0.8178452389503317,-1.405361444676764,-1.9423827127248403,0.8010424630102735,0.4181396802057452,-0.784945491416576,0.1522721268565582,1.0948045617440048,-0.787367374127832,-0.9129198886381055,0.1614048875041213,0.06496290066639737,0.40472683206548477,0.3129799244294078,0.048641838076707654,0.010345115853339346
1999Q3,1999.5,4.871801301000025,0.14244872326477362,1.7488615876326141,-0.6010756105621291,0.15384982511778722,0.043621806456969475,1.3774916818666816,1.0842502962167662,-0.07872363546749506,0.5367383889893917,-0.49880261398576325,0.4635474199522904,-0.5705747344424078,0.47309625609136924,0.12180040704669814,0.0371593811515826,-0.1799988453529162,0.14177590816811841,0.15149158611469796,-0.4689932138181478,0.011507866864768542,0.28262037087125863,-0.447356364212593,0.3285262386280138,-0.05878776154850833,-0.021306437847681707
1999Q4,1999.75,4.7471247556979534,2.445462663584869,2.769427477645712,-0.9489569979883572,-1.3490444885863615,2.820892609694987,0.5172193188476815,-1.7983418536398255,1.4411354573795656,1.0426187648070788,-1.6295027010950354,1.0141993481474094,-0.48126403678587293,0.34011338618154435,-0.7027032826506304,0.6460160130426701,0.15715018711998202,-1.0509699635041045,0.18230318045634056,0.8903938131423911,0.25535908535452645,0.2562421369742855,-0.07177736581778463,0.37452432836628696,-0.07755757959758343,0.011609672559005232
2000Q1,2000.0,2.4443804643624287,0.6195459523154812,2.808050983995965,1.5055984385054755,-1.6738087848158467,-1.086631725194606,-1.4193249645871402,-1.9590899039295253,0.04149978967766561,-0.38435271083470135,-0.8826870662469974,-0.15458881541416283,-0.2638270658123333,0.5273620794542004,0.597382976776213,0.5224026005066434,1.2876077549771554,-0.6442982354782616,0.7619811258553444,0.2179141164192578,-0.4280683566889907,0.3072817739171301,0.20968059997460672,-0.14833034398427997,-0.03231664196073589,-0.08175678274440003
2000Q2,2000.25,-1.1233503599377475,3.2556484261028666,1.0445676226899612,-1.670204996830763,2.9349608120789017,0.18505994042423335,-1.9127287329501739,-1.0642255566908647,0.14470599432071474,-1.8078610311908039,-0.08313166099104223,-0.8598574775163238,0.9603730957870417,-0.3063441535472398,1.0940343120169471,-0.07475542508025496,-0.05956687810687253,0.0011175720734273305,-0.30657865657830236,0.7224652481316778,-0.0979197216201889,0.1940704530523418,0.40259281182985435,0.0840657942375649,-0.05343550840810806,0.3896567714633154
