import,export,deposit_rate,policy_rate,real_gdp,cpi_inflation_qoq,ppi_index,electricity_prod_growth,manufacturing_prod_growth,mining_prod_growth,industrial_prod_sa,unemployment,labor_index,labor_force,bond_2y,bond_5y,internal_debt,reer,usd,eur,m1,m2,budget_deficit,bist,cariacik,fdi
0.7724730465985985,-0.7660779700579212,19.5866666666667,13.5,1.1386262466739794,1.73858284963306,0.8954560498455777,1.4369693011104,-12.9189944134078,-12.6225490196079,1.53733528550512,10.5666666666667,8.910291517943882,6.145283757582771,14.153333333333332,12.954333333333333,0.6425862295856177,166.95,-1.8222021860229975,-0.7369221045749663,-6.023130198400395,3.7421104781873993,-1.0485395118762104,7.408467489231363,-0.0051912557425474746,-264.9209701079277
2.389145642887769,-0.3090223059963648,19.4166666666667,15.0,3.000648935362271,2.98178099518291,5.344535645599358,-1.60978750804895,16.0384923817161,15.4277699859748,1.87454938716655,8.4,9.690797507216153,6.74864290771773,18.37,16.89666666666667,1.1000322855778677,138.02,8.926191878595535,13.433844828174596,18.31810654623922,11.643035152251713,1.4674487966456735,-19.156668706659286,-0.005306820855277231,299.573227355399
-5.162400780599086,0.01617030770457717,23.7966666666667,17.5,-0.75633915508444,1.83186557608379,3.7845169017725055,11.0602094240838,-1.93503800967518,17.9222357229648,0.283085633404097,8.4,1.6621671039300345,2.26887820753758,21.97,18.25,0.7136686862907027,149.74,3.061755068278732,4.4157597776662065,-2.6028051975362843,1.1926018660254556,-2.015494453100917,4.53175178369154,-0.00201101143884475,-67.67980425584153
3.5799303430446017,7.504801973499653,23.79,17.5,2.2335818060502888,2.9408745637446,-0.19000760874741118,-2.41602828520921,4.43974630021142,-11.6434827408552,1.48200423429781,8.9,-2.506143301141339,-2.25097069327822,22.863333333333333,18.772666666666666,0.2392807593093238,152.9,-2.996425325189056,-1.7681703358536138,4.956515438001929,5.479333971317857,-1.1641353312002798,5.618114866552393,-0.003502913816494188,53.1422847846132
6.732540541328014,4.331953299212188,23.3766666666667,17.5,1.806661639897733,2.19125492346812,0.7215687094081602,2.17391304347826,-6.34278002699054,-13.0612244897959,5.35465924895689,9.9,-4.992344682618377,-3.31664248557981,21.323333333333334,18.448666666666664,4.757940360145341,157.4,-3.2339161817745934,-1.7352995959738604,-10.164288271242938,2.5794278019237282,-1.7962966038597343,10.700093764461105,-0.004690862045156237,27.396652066035898
-1.7236666224796693,-3.362695939032534,22.66,17.5,0.030530854679433617,2.22477008269706,1.9774621802352677,-0.709219858156021,10.014409221902,20.523138832998,1.25412541254125,8.53333333333333,7.968630174217051,6.05515752102263,19.836666666666666,16.681333333333335,-3.867968770279262,166.41,-5.154234643549948,-2.3070894196591585,9.44989637548197,4.634461138940438,-1.6401339340089942,5.3387032817385105,-0.004497054560091779,-116.01356715388178
2.9717461309317628,-4.592205207499234,22.6466666666667,17.36,0.584681997250236,-0.369884262021197,1.0294764135783119,11.3095238095238,-2.09561231172233,19.2543127434614,-0.130378096479778,8.66666666666667,0.9513611510491238,1.37354459921746,18.48,16.474666666666668,1.778987911268004,167.63,-3.915742918268289,-2.0989279658201854,0.5287318926690432,2.304223901648328,-2.6669293172480018,16.89132090072807,-0.002636273107364839,33.45435957148073
6.1427243532222064,6.710898167557566,21.5533333333333,15.96,3.3749997861200143,3.92574850299399,1.4667566993934678,-6.31016042780748,4.48160535117053,-14.0457302846477,1.43603133159268,9.53333333333333,-5.044759530334542,-4.10054767588822,17.3,15.59,-1.1534800057248162,177.8,-7.893838453091706,-2.5366581355808826,6.371411599253207,5.035217434133088,-0.44535956264363347,2.2810264993179175,-0.0048490343801364634,24.593749307666535
6.705445743225802,13.536399416969402,21.2066666666667,15.25,2.0846123402259664,2.80255364262829,3.572092541887706,6.44977168949772,-4.80153649167733,-5.91748099891421,1.86615186615183,10.4333333333333,-2.9907603115631787,-1.49584880877896,18.19033333333333,17.25,4.281085010673991,163.88,0.9602236015501253,4.355924770025032,2.302751797732938,7.832628811281239,-2.4571482412492682,-37.03255721997554,-0.005287550637894764,-21.551689637595395
-13.272397900118804,-11.535973498236274,21.91,16.0,-3.613091705557281,3.65878264768524,8.80755116621419,-4.98659517426273,6.59045057162073,13.8488170802077,-0.758054327226785,8.73333333333333,9.495722981861654,7.07477048102133,21.823333333333334,19.916666666666668,-2.0769667669796377,165.42,4.939135697173078,9.153008983882295,3.881427108588653,1.7732135976498142,2.955215025254629,-8.653473593142902,-0.005837976799279158,20.79402825798038
