time_label,time,import,export,deposit_rate,policy_rate,fiscal_balance,real_gdp,cpi_inflation_qoq,ppi_index,electricity_prod_growth,manufacturing_prod_growth,mining_prod_growth,industrial_prod_sa,unemployment,labor_index,labor_force
1998Q1,1998.0,36982.4390131366,33834.8710579077,82.67,80.6,,192563.398648588,18.1583363410661,7.10535228173947,3.25765054294175,-11.4688128772636,-8.54794520547946,2.33545647558385,,,
1998Q2,1998.25,35754.5080725246,34627.9280063547,80.2233333333333,65.75,,191029.548449802,12.6045988702087,7.90474495058875,-10.4206500956023,4.20454545454547,10.1258238466148,-0.829875518672178,6.675,93.9390854406147,
1998Q3,1998.5,35104.5807816858,33404.9315962309,75.3233333333333,78.85,,188341.619628148,11.4803520713415,8.55928485726656,12.059765208111,3.27153762268267,22.5788900979326,-0.627615062761506,,,
1998Q4,1998.75,33199.2202706389,34041.6017689581,82.2133333333333,78.97,,187854.402176299,16.5753980213178,9.58730707237902,0.952380952380943,-2.53431890179515,-14.9578339991123,-5.26315789473685,6.435,98.8566901112326,
1999Q1,1999.0,31018.0832344511,31684.7060179512,82.3,76.32,,184687.514682672,12.3565068418934,10.5734408954456,0.471698113207551,-13.97616468039,-20.1461377870564,1.22222222222223,,,
1999Q2,1999.25,35671.3182962035,30017.4765852001,82.5333333333333,76.91,,183646.402226792,12.1101974456246,11.8660355996735,-4.88262910798121,15.9949622166247,11.0457516339869,2.52469813391875,7.6,99.9853932534536,
1999Q3,1999.5,33826.1714189365,29190.7916798401,79.6333333333333,67.51,,180548.988847357,12.2822568612345,13.1437666809174,6.61401776900296,-4.12595005428882,15.2442613301943,-3.64025695931476,,,
1999Q4,1999.75,35718.4785919739,30897.8574144086,69.2633333333333,69.97,,185942.745978035,17.4127423161631,15.1671111405775,5.27777777777777,3.39750849377123,-11.6956077630235,0.1111111111111,7.281,95.1961509009707,
2000Q1,2000.0,39451.3121392955,34189.6600449071,38.92,39.2,,188871.06787223,14.2275446750545,17.6204196760115,4.48548812664907,-10.8433734939759,-14.8640832851359,3.32963374028857,7.972,87.8883513409436,-6.98396275219866
2000Q2,2000.25,42897.91299135,36865.8478330529,40.83,43.05,,196224.518050679,7.34571674512625,18.8805846573652,-10.1851851851852,18.6732186732187,11.4130434782609,3.97422126745437,5.951,98.9142318400517,10.1269929551353
2000Q3,2000.5,41341.6006569467,37017.8074008829,40.6933333333333,47.44,,199146.922016145,6.03455396560052,19.4897229520191,10.4029990627929,1.75983436853003,12.8048780487805,2.16942148760331,5.376,100.901634627727,1.38883043642944
2000Q4,2000.75,42118.6003564649,36619.9231319609,68.1866666666667,183.2,,202007.93323408,9.45846714398076,20.8628514680513,-0.169779286926993,-1.01729399796543,-4.81081081081081,-1.01112234580386,6.066,93.629245362358,-6.52525839525134
2001Q1,2001.0,35203.3317862734,37989.3649450125,87.3633333333333,81.19,,191654.764818415,8.86197026012049,22.9153826782982,-2.38095238095237,-16.7523124357657,-18.0579216354344,-7.15015321756894,,,
2001Q2,2001.25,29678.0882276792,38997.7497997333,81.0466666666667,63.0,,182370.93381647,20.531640566734,29.6083369841539,-9.23344947735194,4.44444444444443,9.77130977130978,-3.96039603960396,,,
2001Q3,2001.5,30856.5137920429,38233.2040369538,67.75,59.03,,184653.82722596,10.4226330662625,33.1237189437183,11.2284069097889,3.90070921985817,6.50252525252524,3.43642611683849,,,
2001Q4,2001.75,30227.0262084011,36608.9430664398,62.6366666666667,59.0,,181546.294861125,15.5725712353924,38.5689396619888,1.46678170836929,-3.41296928327646,-13.040901007706,-3.98671096345515,,,
2002Q1,2002.0,36562.3984149888,39073.0884769796,57.43,54.73,,188404.355999908,10.7313423215914,42.7931813140453,1.10544217687073,-1.41342756183745,-3.06748466257669,8.30449826989619,,,
