time_label,time,PC1,PC2
2011Q2,2011.25,0.8361191214727933,-0.19188050602390463
2011Q3,2011.5,0.008972057164360336,6.252586022009372
2011Q4,2011.75,-1.8755733352646988,1.2323265927266267
2012Q1,2012.0,-0.9999185970729824,0.23562395343873144
2012Q2,2012.25,-1.0816371997624223,-1.879393218174026
2012Q3,2012.5,0.712968756560772,2.9197073204389885
2012Q4,2012.75,0.01491787224548026,-0.25530911938199935
2013Q1,2013.0,0.2116163638735844,-0.3767460741423709
2013Q2,2013.25,-1.4604054525598609,0.28440453673532606
2013Q3,2013.5,-1.983764719983428,5.062013146455741
2013Q4,2013.75,-1.1944330026380767,-0.1685123164209436
2014Q1,2014.0,-6.6193504836808295,-0.5489134637967912
2014Q2,2014.25,-4.896727874496251,-4.302441458562739
2014Q3,2014.5,2.776742618065457,0.5300415689679954
2014Q4,2014.75,2.0985562088304306,-1.3868284067634338
2015Q1,2015.0,0.5828356858515398,-1.4991353989845533
2015Q2,2015.25,-0.6897228761843852,-3.130201728260767
2015Q3,2015.5,3.8214718657603015,1.5657135392713626
2015Q4,2015.75,2.8755451234017215,-1.1486660993438436
2016Q1,2016.0,2.595656952351576,-0.9448309665064681
2016Q2,2016.25,1.7831295323138794,-0.6359902421169894
2016Q3,2016.5,3.127250725633821,2.2974834801642285
2016Q4,2016.75,1.8780830871282486,1.032245069547414
2017Q1,2017.0,-0.04641777554799373,-0.27540735531807203
2017Q2,2017.25,0.35228572469514086,-3.3974816843104905
2017Q3,2017.5,3.0586318691452714,1.9027143619377047
2017Q4,2017.75,2.1650810872503117,-1.494317265814226
2018Q1,2018.0,1.596853031908712,-0.47572735878247835
2018Q2,2018.25,2.074220298956556,-2.5256969024189444
2018Q3,2018.5,3.6644472391964067,2.189170749719356
2018Q4,2018.75,0.623001720256333,-0.04114136600979
2019Q1,2019.0,0.6470020628096784,-0.23380388714208478
2019Q2,2019.25,-0.22949505363335906,-0.2971729660929335
2019Q3,2019.5,1.8000533410246098,0.4292594796632373
2019Q4,2019.75,1.136080263025275,-0.5831422012453809
2020Q1,2020.0,1.0235173668474191,-1.4854958161387173
2020Q2,2020.25,0.3926537998195478,-1.675189390285224
2020Q3,2020.5,1.7028696450189615,2.324358646856105
2020Q4,2020.75,0.2145781363756008,0.2640642766278678
2021Q1,2021.0,0.5941361438029797,-1.2359967206641582
2021Q2,2021.25,0.29383163750421354,-2.20182824911604
2021Q3,2021.5,2.1725919420232365,1.1969511469985372
2021Q4,2021.75,-0.804950301731927,-1.845991254323742
2022Q1,2022.0,1.0948562818837921,1.0967542115460018
2022Q2,2022.25,-1.1767360879028153,-0.5562851895015755
2022Q3,2022.5,1.9469464373220826,0.9210156737664605
2022Q4,2022.75,0.9095752508443707,-0.7762482913427996
2023Q1,2023.0,0.040536785024731986,0.6329245277886582
2023Q2,2023.25,-1.149343141735209,-1.3583547139910526
2023Q3,2023.5,-2.776133104916668,3.5764134086267654
2023Q4,2023.75,-7.063298679953151,4.650705152494048
2024Q1,2024.0,-5.657325910994695,-0.024475463273189724
2024Q2,2024.25,-3.220726370727144,-1.8944679661934103
2024Q3,2024.5,-3.5941678992574992,1.5187901987265005
2024Q4,2024.75,-0.8679200393678715,-0.44881923372649146
2025Q1,2025.0,-1.0105976312558054,-1.146683712213157
2025Q2,2025.25,-2.4289704967221235,-1.6726910781242406
