policy_rate,deposit_rate,cpi_inflation_qoq,reer,cariacik,mining_prod_growth,industrial_prod_sa,electricity_prod_growth,internal_debt,m1,bist,m2,manufacturing_prod_growth,usd,real_gdp,export,import,eur,ppi_index,unemployment,fdi,bond_5y,bond_2y,labor_index,labor_force,budget_deficit
80.6,82.67,18.1583363410661,117.14,-0.007106377486443469,-8.54794520547946,2.33545647558385,3.25765054294175,12.829035699872904,18.671070191911987,22.954816346892493,26.64091641198514,-11.4688128772636,12.255201411837003,-0.7997323128282829,2.316856552431368,-3.376681758847333,8.661243296567257,10.661486327653558,6.675,-89.54999622050809,16.311,15.71,-7.98722350765928,-6.98396275219866,-1.0485395118762104
65.75,80.2233333333333,12.6045988702087,116.3,-0.0015336052509171872,10.1258238466148,-0.829875518672178,-10.4206500956023,12.829035699872904,18.671070191911987,22.954816346892493,26.64091641198514,4.20454545454547,12.255201411837003,-0.7997323128282829,2.316856552431368,-3.376681758847333,8.661243296567257,10.661486327653558,6.675,-89.54999622050809,16.311,15.71,-7.98722350765928,-6.98396275219866,-1.0485395118762104
78.85,75.3233333333333,11.4803520713415,126.14,0.007352458790914734,22.5788900979326,-0.627615062761506,12.059765208111,17.03250693065108,20.186141532934876,-59.299728983099875,13.850736717110124,3.27153762268267,7.3098876889273745,-1.4170680470865449,-3.595698262779834,-1.8344732563537747,8.661243296567257,7.955343612596355,6.555,-89.54999622050809,16.311,15.71,-7.98722350765928,-6.98396275219866,-1.0485395118762104
78.97,82.2133333333333,16.5753980213178,129.17,0.008922357951411813,-14.9578339991123,-5.26315789473685,0.952380952380943,15.479841743208667,9.14479560424759,13.671759173676268,22.106708759230287,-2.53431890179515,7.519533933360489,-0.2590233261477337,1.8879816425556584,-5.580523873479315,8.661243296567257,11.342340171037613,6.435,-89.54999622050809,16.311,15.71,-7.98722350765928,-6.98396275219866,-1.0485395118762104
76.32,82.3,12.3565068418934,129.82,0.006479898168904192,-20.1461377870564,1.22222222222223,0.471698113207551,20.425181883537746,18.662594266963595,56.131406300971506,13.716402582020137,-13.97616468039,15.184962718681106,-1.7001919174035152,-7.17492536299833,-6.795602526467981,8.661243296567257,9.790523734610845,7.0175,-89.54999622050809,16.311,15.71,-7.98722350765928,-6.98396275219866,-1.0485395118762104
76.91,82.5333333333333,12.1101974456246,130.33,-0.005135256601826455,11.0457516339869,2.52469813391875,-4.88262910798121,17.565231993533104,-6.611861951588338,8.340866129739899,15.390561653358859,15.9949622166247,14.685081388173614,-0.565310540628694,-5.405433957629846,13.977659225179728,8.661243296567257,11.533488696475347,7.6,-89.54999622050809,16.311,15.71,-7.98722350765928,-6.98396275219866,-1.0485395118762104
67.51,79.6333333333333,12.2822568612345,135.06,0.0008432828480773581,15.2442613301943,-3.64025695931476,6.61401776900296,16.513027228486266,15.008977602566276,20.411310213094637,19.375836712341155,-4.12595005428882,10.191736801944739,-1.7010034388770023,-2.792645877437039,-5.311215160266158,9.374768236841557,10.226746160910327,7.4405,-89.54999622050809,16.311,15.71,-7.98722350765928,-6.98396275219866,-1.0485395118762104
69.97,69.2633333333333,17.4127423161631,138.37,-0.0040212029915290964,-11.6956077630235,0.1111111111111,5.27777777777777,13.486654960415123,33.19815609744747,91.83297906121872,18.866848706295514,3.39750849377123,12.725863511998947,2.943666169989001,5.683353605033581,5.443335728432075,11.652196047568541,14.318171324943885,7.281,-89.54999622050809,16.311,15.71,-7.98722350765928,-6.98396275219866,-1.0485395118762104
39.2,38.92,14.2275446750545,143.95,-0.006387659426067711,-14.8640832851359,3.32963374028857,4.48548812664907,15.1865918395643,4.742108876284945,4.570328774996302,0.17464561752831287,-10.8433734939759,12.385355482664872,1.5625792693056084,10.123641832695007,9.939914506610492,7.3882298144161584,14.992909555469236,7.972,-89.54999622050809,16.311,15.71,-7.98722350765928,-6.98396275219866,-1.0485395118762104
43.05,40.83,7.34571674512625,143.7,-0.007897216648016176,11.4130434782609,3.97422126745437,-10.1851851851852,13.028477594211907,15.426254878633472,-9.577511198914745,8.814724572785693,18.6732186732187,7.996912151257785,3.819490220587518,7.536232900974049,8.375586897293097,2.5199294936367633,6.907568887312943,5.951,-89.54999622050809,16.311,15.71,11.818585539999749,10.1269929551353,-1.0485395118762104
47.44,40.6933333333333,6.03455396560052,149.44,-0.002783220832052509,12.8048780487805,2.16942148760331,10.4029990627929,3.3175678185376256,11.850379168683745,-25.579800839748668,7.774038001783268,1.75983436853003,5.685532475090516,1.4783349998351625,0.41134884737843436,-3.695390370004148,2.6293970427785585,3.175317128064359,5.376,-89.54999622050809,16.311,15.71,1.989299811050227,1.38883043642944,-1.0485395118762104
